k,theta,eyevectorX,eyevectorY,eyevectorZ,truthvectorX,truthvectorY,truthvectorZ
2,3.166999,0.006435253,0.4823583,0.8759505,0.1831679,9.93243,20.66181
2,3.135627,0.006967645,0.4818895,0.8762043,0.1831505,9.932429,20.66159
2,3.125684,0.007133177,0.4817358,0.8762875,0.1832967,9.932487,20.66205
2,2.998264,0.008371202,0.479782,0.8773478,0.1834026,9.932525,20.66234
2,2.954063,0.00908232,0.4790905,0.8777185,0.1834861,9.932563,20.66257
2,2.958765,0.009175388,0.4791569,0.8776813,0.1835796,9.932576,20.66278
2,2.859855,0.01179673,0.4775108,0.8785467,0.1836546,9.932639,20.66312
2,2.863275,0.01185196,0.4775566,0.878521,0.1837571,9.932648,20.66327
2,2.869012,0.01214977,0.4776217,0.8784816,0.1837645,9.932684,20.66343
2,2.861292,0.0126758,0.4774615,0.8785613,0.1837204,9.932673,20.66325
2,2.888528,0.0127182,0.4778818,0.8783321,0.1835334,9.932626,20.66274
2,2.86635,0.01252378,0.4775584,0.8785107,0.1834708,9.932598,20.66264
2,2.864164,0.01231496,0.4775586,0.8785136,0.1830997,9.932563,20.66147
2,2.835451,0.01192233,0.4771568,0.8787373,0.1828927,9.932534,20.66084
2,2.827432,0.01171525,0.4770819,0.8787808,0.1823353,9.932499,20.65878
2,2.762225,0.01021872,0.4761785,0.8792893,0.1820978,9.932459,20.65791
2,2.759815,0.01008053,0.4761662,0.8792976,0.1818065,9.932401,20.6567
2,2.751575,0.009950362,0.4760746,0.8793486,0.1814051,9.932389,20.65494
2,2.744666,0.00983234,0.4760166,0.8793814,0.1807818,9.932385,20.65228
